Brand Name,Company Name (GBO),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Mean
Leo,Boon Rawd Brewery Co Ltd,36.9,37.6,38.1,37.6,37.1,35.0,34.6,34.8,34.6,34.2,36.05
Chang,Thai Beverage PCL,19.9,20.2,19.0,18.8,20.5,25.5,24.3,23.3,23.8,23.8,21.910000000000004
Ruang Khao,Thai Beverage PCL,12.3,12.4,12.1,12.9,12.7,11.9,12.8,12.9,12.8,14.3,12.71
Singha,Boon Rawd Brewery Co Ltd,7.1,7.1,7.5,7.8,7.7,7.4,7.6,7.8,7.9,7.2,7.510000000000001
Archa,Thai Beverage PCL,3.4,3.3,3.1,2.9,2.8,2.6,2.3,2.0,2.0,1.9,2.63
Hong Thong,Thai Beverage PCL,2.7,2.6,2.7,2.8,2.7,2.5,2.4,2.4,2.3,2.4,2.55
Blend 285,Thai Beverage PCL,1.8,2.3,2.6,2.7,2.6,2.5,2.4,2.4,2.3,2.4,2.3999999999999995
Heineken,Heineken NV,2.2,1.9,1.8,1.7,1.4,1.4,1.4,1.4,1.4,1.4,1.6
U Beer,Boon Rawd Brewery Co Ltd,,,,,,,0.7,0.9,0.9,0.6,0.775
Pai Thong,Thai Beverage PCL,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
Spy,Siam Winery Co Ltd,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6200000000000001
Sang Som,Thai Beverage PCL,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6099999999999999
Mekhong,Thai Beverage PCL,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49000000000000005
San Miguel,San Miguel Corp,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.37999999999999995
Cheers,Thai Asia Pacific Brewery Co Ltd,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.33999999999999997
Master Blend,Pernod Ricard Groupe,0.3,0.3,,,,,,,,,0.3
Mungkorn Thong,Thai Beverage PCL,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29999999999999993
Siang Chun,Thai Beverage PCL,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29999999999999993
Tiger,Heineken NV,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2222222222222222
Mont Clair,Siam Winery Co Ltd,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.21000000000000002
Crown 99,Thai Beverage PCL,0.2,0.2,0.2,,,,,,,,0.20000000000000004
Tiger,Asia Pacific Breweries Ltd,0.2,,,,,,,,,,0.2
Regency,Regency Thai Co Ltd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999999999999998
Johnnie Walker,Diageo Plc,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.18000000000000002
Snowy Weizen,Boon Rawd Brewery Co Ltd,,,,,,,0.1,0.2,0.2,0.2,0.175
Smirnoff,Diageo Plc,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.14999999999999997
Hoegaarden,Anheuser-Busch InBev NV,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.14000000000000004
100 Pipers,Pernod Ricard Groupe,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.14
Federbräu,Thai Beverage PCL,,,,,0.0,0.0,0.1,0.2,0.2,0.2,0.11666666666666665
Jacob's Creek,Pernod Ricard Groupe,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07999999999999999
Benmore,Diageo Plc,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006
Others,Others,7.9,6.8,7.6,7.6,7.3,6.4,6.4,6.7,6.6,6.5,6.9799999999999995
