Company Name (GBO),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Thai Beverage PCL,42.6,43.4,42.2,42.5,43.7,47.4,46.7,45.6,45.800000000000004,47.4
Boon Rawd Brewery Co Ltd,44.0,44.7,45.6,45.4,44.800000000000004,42.4,43.0,43.699999999999996,43.6,42.2
Heineken NV,2.2,2.1,2.0,1.9,1.5999999999999999,1.5999999999999999,1.5999999999999999,1.7,1.7,1.5999999999999999
Siam Winery Co Ltd,0.7,0.6,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0
Pernod Ricard Groupe,0.7,0.6,0.30000000000000004,0.30000000000000004,0.2,0.2,0.2,0.1,0.1,0.1
San Miguel Corp,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
Diageo Plc,0.5,0.5,0.5,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
Thai Asia Pacific Brewery Co Ltd,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Asia Pacific Breweries Ltd,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regency Thai Co Ltd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Anheuser-Busch InBev NV,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
Others,7.9,6.8,7.6,7.6,7.3,6.4,6.4,6.7,6.6,6.5
