Geography,Average,STD,Max
South Africa,1.68,26.918683766378436,78.7
Ukraine,1.76,10.092196782536293,30.6
Argentina,1.79,18.32147894983074,63.2
Ghana,2.05,19.611909646946675,45.5
Tunisia,2.09,28.128751601638257,67.0
Georgia,2.3,8.596470103805053,30.8
North Macedonia,2.34,16.275021311240078,57.5
Chile,2.4,19.80583527930875,60.5
Brazil,2.52,24.727447637527547,61.6
Colombia,2.72,37.16550820317139,86.0
Spain,2.74,9.464332503858355,28.6
Panama,2.74,16.92385889801732,39.9
Sri Lanka,2.77,32.49871792342994,73.0
Hungary,2.84,10.94310354294042,31.0
Indonesia,3.17,13.84918770181125,44.0
Azerbaijan,3.18,18.99721032151826,74.7
Bolivia,3.42,30.77035911392651,78.2
Kazakhstan,3.44,10.35155382861272,35.7
Belgium,3.47,11.77249992083096,51.4
Turkey,3.61,23.454880698298773,49.8
Belarus,3.72,8.44240895751017,30.7
Egypt,3.8,27.404422653148178,75.2
India,3.9,16.86590577993894,53.7
Canada,3.96,13.323191655809648,40.5
Austria,3.99,10.903474820344877,48.7
Greece,4.25,13.703175454757181,59.7
Philippines,4.25,62.57895013500946,94.2
Poland,4.37,12.196680497230185,33.7
Mexico,4.46,27.581424908804113,60.4
Lithuania,4.55,7.9812713674384375,29.8
South Korea,4.56,14.596243683575912,50.8
Netherlands,4.6,9.71169488523294,38.0
Germany,4.64,5.4205225316503425,27.4
Malaysia,4.74,20.33924192060171,46.0
Thailand,4.82,22.575108764174004,59.2
Portugal,5.06,14.585837880172212,42.4
Russia,5.08,7.056083310754747,26.2
Singapore,5.17,10.464479601649252,37.6
Denmark,5.2,14.589957407163915,56.5
Italy,5.83,7.3501902317346675,29.3
Japan,6.16,12.426942057034344,32.2
Switzerland,6.23,10.450197366557244,36.6
France,6.39,9.758849463801706,34.6
China,7.71,8.175096689480371,25.1
Jordan,9.4,21.91753619495455,65.7
Qatar,11.26,10.525141857054049,25.7
